Date,Name,,Ratings,Dugan Ratings,Name,Year,Name,Review,Watched Date,Name,Liked
2021-04-27,Joker,,3.5,7,Parasite,2019,The Muppet Christmas Carol,Everytime Kermit was on screen 10/10,2023-12-13,Pulp Fiction,Yes
2021-04-27,Knives Out,,3,6,Joker,2019,Drive-Away Dolls,They should make a Sukie and Curlie spin-off buddy cop movie.,2024-03-19,Get Out,Yes
2021-04-27,Pulp Fiction,,4.5,9,Knives Out,2019,Looper,Christopher Nolan if he didn’t make me rethink everything after watching.,2024-03-19,Spider-Man: Into the Spider-Verse,Yes
2021-04-27,Get Out,,4.5,9,Pulp Fiction,1994,Howl's Moving Castle,Justice for Scarecrow,2024-03-19,The Dark Knight,Yes
2021-04-27,Spider-Man: Into the Spider-Verse,,5,10,Inception,2010,Ocean's Eleven,Lyman Zerga is the greatest fake name in cinematic history,2024-03-26,Jojo Rabbit,Yes
2021-04-27,Fight Club,,3,6,Get Out,2017,Léon: The Professional,Gary Oldman is evil Jim Carey in this,2024-05-15,Baby Driver,Yes
2021-04-27,The Dark Knight,,4.5,9,Lady Bird,2017,Split,He should’ve been nominated.. too bad M. Night writes his dialogue.,2024-05-17,Inglourious Basterds,Yes
2021-04-27,Jojo Rabbit,,5,10,Spider-Man: Into the Spider-Verse,2018,Interstellar,Oh no I’m basic,2024-05-21,The Wolf of Wall Street,Yes
2021-04-27,Baby Driver,,5,10,Fight Club,1999,Kiki's Delivery Service,How is every single character likable and charming.. classic Ghibli,2024-08-20,Avengers: Infinity War,Yes
2021-04-27,Inglourious Basterds,,5,10,The Dark Knight,2008,Hit Man,It might being super predictable but the dialog is fantastic so. If I can’t have both I’ll definitely choose this alternative.,2024-08-20,Avengers: Endgame,
2021-04-27,Black Panther,,2,4,Interstellar,2014,Full Metal Jacket,"First half, 9 or 9.5 out of 10.. too bad that second half is like a 5 and makes it feel like a 3 hour movie.",2024-08-20,Mad Max: Fury Road,Yes
2021-04-27,The Wolf of Wall Street,,4,8,Jojo Rabbit,2019,Alien: Romulus,Freaky alien baby lankyman was not on my bingo card,2024-08-20,Arrival,Yes
2021-04-27,Avengers: Infinity War,,5,10,Baby Driver,2017,Manos: The Hands of Fate,What a terrible movie… can’t wait to make it a drinking game,2024-08-26,1917,Yes
2021-04-27,Uncut Gems,,2,4,Inglourious Basterds,2009,Nazis at the Center of the Earth,PlayStation 2 Hagrid looked better than most CGI in this.,2024-08-26,The Social Network,Yes
2021-04-27,Gone Girl,,3.5,7,Whiplash,2014,Rebel Ridge,He somehow never killed.. except that one dudes arm,2024-09-09,Marriage Story,Yes
2021-04-27,Avengers: Endgame,,5,10,Black Panther,2018,The Jerk,Wished he pulled apart more churches,2024-09-15,Guardians of the Galaxy,Yes
2021-04-27,Mad Max: Fury Road,,4,8,The Wolf of Wall Street,2013,Boy Kills World,Every movie should have a camera kill,2024-09-15,The Godfather,Yes
2021-04-27,Arrival,,4.5,9,Avengers: Infinity War,2018,Your Lucky Day,If the first hour was cut off it would be a very interesting short film,2024-09-15,Forrest Gump,Yes
2021-04-27,Eternal Sunshine of the Spotless Mind,,3,6,Uncut Gems,2019,Kill Bill: Vol. 2,Tarantino studied yapology for this one,2024-10-04,Coco,Yes
2021-04-27,1917,,4,8,Gone Girl,2014,Upgrade,Not corny AI bad movie?? 2018>> 2024,2024-10-04,Inside Out,Yes
2021-04-27,Django Unchained,,3.5,7,Avengers: Endgame,2019,Room,Wooooh they escaped!! Wait why is this still depressing?,2024-10-16,Spider-Man: Homecoming,Yes
2021-04-27,The Social Network,,5,10,Mad Max: Fury Road,2015,Red One,Best thing that would come out of this would be a Krampus spin-off movies,2024-11-18,The Lord of the Rings: The Fellowship of the Ring,Yes
2021-04-27,Marriage Story,,4,8,Arrival,2016,The Star Wars Holiday Special,"Truly horrible, volcano head man is the worst character ever created even with just 2 minutes of screen time.",2024-12-16,Booksmart,Yes
2021-04-27,Guardians of the Galaxy,,4,8,Spirited Away,2001,Nosferatu,Freakeratu,2025-01-03,GoodFellas,Yes
2021-04-27,Dunkirk,,3,6,Eternal Sunshine of the Spotless Mind,2004,Love & Mercy,Paul Giamatti super villain reminded me of Gary Oldman in Leon,2025-01-13,Captain America: Civil War,Yes
2021-04-27,The Godfather,,4.5,9,1917,2019,Snack Shack,Summer coming of age might be the best sub-genre,2025-01-15,Logan,Yes
2021-04-27,Soul,,3,6,Django Unchained,2012,A Complete Unknown,Genre may be getting bloated but another Johnny Cash movie may be necessary,2025-01-15,The Martian,Yes
2021-04-27,Thor: Ragnarok,,3.5,7,The Social Network,2010,A Real Pain,I don’t know if I could survive more than 1 day with him,2025-01-20,Captain America: The Winter Soldier,Yes
2021-04-27,Star Wars: The Force Awakens,,3,6,Marriage Story,2019,The Beach Boys,"Did really well the show the start of the band up
to Smiley Smile.. why isn’t that part one of a miniseries?",2025-01-20,Iron Man,Yes
2021-04-27,Forrest Gump,,4.5,9,Guardians of the Galaxy,2014,Little Miss Sunshine,Same casting director as Breaking Bad?,2025-01-21,The Incredibles,Yes
2021-04-27,Coco,,4,8,Dunkirk,2017,Number 24,Norwegian Adrian Brody does not mess around,2025-01-21,The Perks of Being a Wallflower,Yes
2021-04-27,Deadpool,,3.5,7,The Godfather,1972,Arcadian,I need to get a hand on that nondescript medicine to solve all my problems,2025-01-26,The Lord of the Rings: The Two Towers,Yes
2021-04-27,A Quiet Place,,3.5,7,Soul,2020,Between the Temples,This is two movies: the dinner scene and then everything else,2025-01-27,There Will Be Blood,Yes
2021-04-27,Inside Out,,4,8,Thor: Ragnarok,2017,Emilia Pérez,Would go up an entire star if someone edited out every music number,2025-01-30,Good Will Hunting,Yes
2021-04-27,Spider-Man: Homecoming,,4,8,Star Wars: The Force Awakens,2015,The Fall Guy,Give stunts an Oscar nomination already,2025-01-31,Kingsman: The Secret Service,Yes
2021-04-27,Star Wars: The Last Jedi,,2.5,5,Scott Pilgrim vs. the World,2010,The Equalizer,The 2000s movie of all time made in 2014?? Director must’ve loved Evanescence music videos,2025-01-31,Saving Private Ryan,Yes
2021-04-27,The Lord of the Rings: The Fellowship of the Ring,,4.5,9,Forrest Gump,1994,Woman of the Hour,Tony Hale’s humor can’t even be stopped from a disturbing serial killer movie,2025-02-04,Superbad,Yes
2021-04-27,The Avengers,,3,6,Coco,2017,Laserblast,Michael Bay’s wet dream,2025-02-06,The SpongeBob SquarePants Movie,Yes
2021-04-27,Booksmart,,4,8,Deadpool,2016,Wallace & Gromit: Vengeance Most Fowl,Train chase may have the greatest establishing shot for no reason,2025-02-13,A Quiet Place Part II,Yes
2021-04-27,Guardians of the Galaxy Vol. 2,,3.5,7,A Quiet Place,2018,Oldboy,Thank you for giving us daredevil hallway scene,2025-02-15,Up,Yes
2021-04-27,GoodFellas,,4.5,9,Inside Out,2015,Captain America: Brave New World,“You stopped my plan so I’m turning myself in”.. put him with the other awful mcu villains,2025-02-16,"Monsters, Inc.",Yes
2021-04-27,Captain America: Civil War,,4,8,Spider-Man: Homecoming,2017,Chiefsaholic: A Wolf in Chiefs Clothing,Very interesting story.. too bad I hate everyone that appears in this,2025-02-18,Bo Burnham: Inside,Yes
2021-04-27,Logan,,5,10,Star Wars: The Last Jedi,2017,Saturday Night,Willem Defoe is going to get a nom for 3 minutes of screen time one of these years,2025-02-20,King Richard,Yes
2021-04-27,Star Wars: The Rise of Skywalker,,2.5,5,The Lord of the Rings: The Fellowship of the Ring,2001,Memento,Goddamnit Nolan.. I knew the twist before and he still blew my mind with who he actually is,2025-02-21,Spider-Man: Across the Spider-Verse,Yes
2021-04-27,Ratatouille,,3,6,The Avengers,2012,Hundreds of Beavers,Charlie Chaplin wishes he could’ve made this,2025-02-22,Guardians of the Galaxy Vol. 3,Yes
2021-04-27,Bohemian Rhapsody,,2.5,5,The Shawshank Redemption,1994,Wicked,This really puts into context the sins of Emilia Perez,2025-02-23,The Super Mario Bros. Movie,Yes
2021-04-27,The Martian,,4,8,The Empire Strikes Back,1980,Conclave,Kinda hope every pope picking is this petty,2025-02-23,Air,Yes
2021-04-27,Doctor Strange,,3.5,7,Booksmart,2019,I'm Still Here,But.. but they’re so happy in the beginning,2025-02-24,A Man Called Otto,Yes
2021-04-27,WALL·E,,3.5,7,Guardians of the Galaxy Vol. 2,2017,The Wild Robot,They should make a museum solely for every single frame in this,2025-02-24,Sisu,Yes
2021-04-27,Rogue One: A Star Wars Story,,3.5,7,GoodFellas,1990,September 5,What’s with the emphasis on ratings during this,2025-02-26,Puss in Boots: The Last Wish,Yes
2021-04-27,Captain America: The Winter Soldier,,5,10,Captain America: Civil War,2016,The Last of the Mohicans,A gorgeous shot movie having two random stock video shots of a waterfall is incredible,2025-02-27,Spirited Away,Yes
2021-04-27,Toy Story,,2.5,5,Spider-Man: Far From Home,2019,Anora,The house “fight” scene is my pick for scene of the year,2025-02-27,Whiplash,Yes
2021-04-27,Iron Man,,4,8,Logan,2017,Lord of War,No one can convince me Nick Cage is getting with someone in every country,2025-02-27,Top Gun: Maverick,Yes
2021-04-27,Wonder Woman,,2,4,Star Wars: The Rise of Skywalker,2019,Collateral,Audioslave jumpscare… twice???,2025-02-28,Hustle,Yes
2021-04-27,The Lobster,,1.5,3,Ratatouille,2007,Date Movie,An hour and a half ytp,2025-03-01,The Northman,Yes
2021-04-27,The Incredibles,,4.5,9,Bohemian Rhapsody,2018,A Haunted House,“Clean yo plate”,2025-03-01,It's Such a Beautiful Day,Yes
2021-04-27,The Big Lebowski,,2,4,The Martian,2015,Conan the Barbarian,The Northman if it had more camel being punched,2025-03-05,Treasure Planet,Yes
2021-04-27,The Perks of Being a Wallflower,,5,10,Doctor Strange,2016,Bone Tomahawk,They might be troglodytes but that was a impressively clean cut in half,2025-03-07,Troll 2,Yes
2021-04-27,Avengers: Age of Ultron,,3.5,7,Up,2009,Mickey 17,I’m gonna see Ruffulo’s teeth in my dreams for awhile,2025-03-08,Riders of Justice,Yes
2021-04-27,Titanic,,3,6,WALL·E,2008,Almost Famous,Goddamn I am the biggest sucker for white boy  coming of age stories,2025-03-10,The Batman,Yes
2021-04-27,Incredibles 2,,2.5,5,Rogue One: A Star Wars Story,2016,Nickel Boys,Not the best of the best picture noms but definitely the most interesting,2025-03-11,Rain Man,Yes
2021-04-27,The Lord of the Rings: The Two Towers,,4,8,Captain America: The Winter Soldier,2014,Greedy People,"Joseph Gordon Levitt should play more villains?? 
Also this drops all the comedy second half like it’s Mulan coming across the burned village",2025-03-12,CODA,Yes
2021-04-27,There Will Be Blood,,4,8,The Revenant,2015,Wind River,Disappointed with myself that I forgot to log this one,2025-03-13,Porco Rosso,Yes
2021-04-27,Good Will Hunting,,5,10,Toy Story,1995,The Northman,Can’t explain why but this movie makes me wants to punch down a tree,2025-03-14,Rushmore,Yes
2021-04-27,Fantastic Mr. Fox,,3.5,7,The Dark Knight Rises,2012,The Running Man,Imagine Arnold saying a one liner.. congrats you’ve seen the movie,2025-03-21,Klaus,Yes
2021-04-27,Ant-Man,,2.5,5,Iron Man,2008,Clueless,Donald Faison doesn’t have a line in this that misses.. also the most confusing case of incest or not in cinema,2025-03-26,The Mitchells vs. the Machines,Yes
2021-04-27,Deadpool 2,,3,6,Wonder Woman,2017,The Electric State,Bad music acting writing and editing.. but 2 starts for reminding me of fallout,2025-04-01,The Nightmare Before Christmas,Yes
2021-04-27,Dead Poets Society,,3,6,The Lobster,2015,Ichi the Killer,I’m convinced they designed characters’ costumes first and then made the story somehow fit.,2025-04-06,(500) Days of Summer,Yes
2021-04-27,Captain America: The First Avenger,,2.5,5,The Lord of the Rings: The Return of the King,2003,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Oh no, not a volcano!! *funky beat drop*",2025-04-07,The Last Duel,Yes
2021-04-27,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),,1.5,3,The Hateful Eight,2015,Soylent Green,For 30 minutes the plot is a cop that steals shit,2025-04-08,The Rum Diary,Yes
2021-04-27,Kingsman: The Secret Service,,4,8,The Incredibles,2004,Look Back,All that in 59 minutes?? Based off runtime it’s the best black mirror episode there is,2025-04-08,Hell or High Water,Yes
2021-04-27,Palm Springs,,3,6,Moonrise Kingdom,2012,Fritz the Cat,"Can’t believe this had something interesting to say about radical ideology, too bad it’s padded out with long sex scenes inbetween",2025-04-10,The Trial of the Chicago 7,Yes
2021-04-27,Suicide Squad,,1,2,Psycho,1960,Save the Green Planet!,Dog named earth not being an alien dropped this half a star,2025-04-10,Godzilla vs. Kong,Yes
2021-04-27,The Nice Guys,,3.5,7,The Big Lebowski,1998,The Thing,So excited to watch 3 documentaries about how this was made,2025-04-11,Sing Street,Yes
2021-04-27,Saving Private Ryan,,4.5,9,The Perks of Being a Wallflower,2012,Flow,"The calmest movie I’ve ever seen, also would kill anyone that looks funny at capybara",2025-04-12,The Muppet Movie,Yes
2021-04-27,Shaun of the Dead,,3,6,Avengers: Age of Ultron,2015,Smokin' Aces,I diagnose this movie with ADHD,2025-04-14,The King of Comedy,Yes
2021-04-27,Princess Mononoke,,2,4,The Florida Project,2017,The Cat Returns,"Stop fat shaming Muta, gof forbid a man eats all the food in a kingdom",2025-04-14,The Intouchables,Yes
2021-04-27,Home Alone,,3.5,7,Titanic,1997,Who Killed Captain Alex?,"1 of 1 movie, nothing else will ever have dubbing that skips dialogue and hypes up action scenes instead",2025-04-15,Tucker and Dale vs. Evil,Yes
2021-04-27,Thor,,1,2,Incredibles 2,2018,The Incident,45 minutes for character introductions??? Such an interesting concept after having to sludge through the first half,2025-04-17,"Love, Simon",Yes
2021-04-27,What We Do in the Shadows,,3,6,The Lord of the Rings: The Two Towers,2002,The Game,Peele gotta make this into a horror remake,2025-04-22,The Naked Gun: From the Files of Police Squad!,Yes
2021-04-27,Sorry to Bother You,,2,4,Harry Potter and the Prisoner of Azkaban,2004,Porco Rosso,Please don’t make me pick between this and Last Duel for best 1v1 fight,2025-04-23,When Harry Met Sally...,Yes
2021-04-27,The Hunger Games,,1.5,3,Return of the Jedi,1983,Nurse Sherri,"Plot: 
terrible movie…. Good chase scene ……2nd half of terrible movie",2025-04-24,The Nice Guys,Yes
2021-04-27,Superbad,,4.5,9,There Will Be Blood,2007,Se7en,Mannnnn.. I wish I could have seen opening weekend at the theater,2025-04-25,Stand by Me,Yes
2021-04-27,The SpongeBob SquarePants Movie,,5,10,Good Will Hunting,1997,Sinners,Not having the dad come back as Michael B Jordan with white hair is a missed opportunity,2025-04-25,Blood & Gold,Yes
2021-04-27,Top Secret!,,3,6,Finding Nemo,2003,Xtro,Some leftover alien script and family drama script got morphed together,2025-04-28,Won't You Be My Neighbor?,Yes
2021-08-04,Old,,2,4,Fantastic Mr. Fox,2009,Blue Ruin,Ben killing Ted is the biggest act of friendship ever made in a movie,2025-04-30,Oppenheimer,Yes
2021-08-04,Black Widow,,3,6,Batman Begins,2005,Beavis and Butt-Head Do America,One day I’ll like my job as much as that lady likes doing cavity searches,2025-05-02,Hunt for the Wilderpeople,Yes
2021-08-04,A Quiet Place Part II,,4.5,9,Harry Potter and the Philosopher's Stone,2001,Amélie,Gonna double feature this with Kiki delivery service for the most wholesome 4 hours of my life,2025-05-03,Into the Wild,Yes
2021-08-04,Luca,,3.5,7,Ant-Man,2015,Trap,"Gay blonde Kid Cudi isn’t real, he can’t hurt you. Gay blonde Kid Cudi:",2025-05-06,"Crazy, Stupid, Love.",Yes
2021-08-04,Up,,4,8,The Lion King,1994,Seven Samurai,Woah.. feel like I just watched a full season of a tv show. This got me unbelievably hype to watch Ran next,2025-05-07,Kung Fu Panda,Yes
2021-08-04,The Tomorrow War,,1.5,3,Deadpool 2,2018,Come and See,"They must’ve hired an 80 year old to play him at the end, that cannot be the same guy",2025-05-07,Shane Gillis: Beautiful Dogs,Yes
2021-08-06,Bo Burnham: Inside,,4.5,9,"Monsters, Inc.",2001,Thriller: A Cruel Picture,Tarantino is a freak for requesting Daryl Hannah watch this for her role,2025-05-12,Kung Fu Panda 2,Yes
2021-11-30,King Richard,,4.5,9,Dead Poets Society,1989,The Foot Fist Way,This feels like a Danny McBride side character got a spinoff movie,2025-05-12,Set It Up,Yes
2021-11-30,Loki,,3,6,Toy Story 4,2019,Tombstone,Love the Cowboy killing Highlight reels,2025-05-13,The Muppet Christmas Carol,Yes
2021-11-30,Lady Bird,,3.5,7,Captain America: The First Avenger,2011,Bo Burnham: The Inside Outtakes,Is it sad I would watch a 5 hour cut of Inside?,2025-05-14,Dungeons & Dragons: Honor Among Thieves,Yes
2021-11-30,The Hateful Eight,,3.5,7,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,Poor Things,Don’t ask me why but this has similarities to Fritz the Cat,2025-05-15,BlackBerry,Yes
2021-11-30,Moonrise Kingdom,,3,6,Zootopia,2016,My Neighbor Totoro,I would’ve never thought I would watch a Miyazaki that would rival Porco Rosso,2025-05-16,Rango,Yes
2023-06-12,Spider-Man: Across the Spider-Verse,,5,10,Kingsman: The Secret Service,2014,Thunderbolts*,No wonder Sam wants to make a different team this one almost lost to a wall,2025-05-16,La La Land,Yes
2023-06-12,Air,,4,8,Palm Springs,2020,Ran,"I got giddy every time Lady Kaede was on screen, she insane",2025-05-18,Dune: Part Two,Yes
2023-06-12,A Man Called Otto,,3.5,7,Toy Story 3,2010,A Fish Called Wanda,"Hate to say it but wished the old lady had 10 more dogs for Ken, every scene with them was 10/10",2025-05-18,Looper,Yes
2023-06-12,Sisu,,3.5,7,Suicide Squad,2016,Shrek Forever After,Feels like a TV special. Also does my boy Puss so wrong,2025-05-20,Ocean's Eleven,Yes
