Date,Name,Ratings,Dugan Ratings,Name.1,Year,Name.2,Review,Name.3,Liked
06/20/2023,(500) Days of Summer,4.0,8.0,(500) Days of Summer,2009,10 Things I Hate About You,That was a really confusing way for Joey to gift Kat a guitar,(500) Days of Summer,Yes
07/08/2025,10 Things I Hate About You,3.5,7.0,10 Things I Hate About You,1999,12 Angry Men,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",10 Things I Hate About You,Yes
07/10/2025,12 Angry Men,4.5,9.0,101 Dalmatians,1996,A Complete Unknown,Genre may be getting bloated but another Johnny Cash movie may be necessary,12 Angry Men,Yes
04/27/2021,1917,4.0,8.0,12 Angry Men,1957,A Fish Called Wanda,"Hate to say it but wished the old lady had 10 more dogs for Ken, every scene with them was 10/10",1917,Yes
06/20/2023,21,2.5,5.0,1917,2019,A Haunted House,“Clean yo plate”,A Complete Unknown,Yes
01/16/2025,A Complete Unknown,4.0,8.0,2012,2009,A Little Romance,"Richard is no stepdad, that’s the dad that stepped up",A Few Good Men,Yes
05/16/2024,A Few Good Men,4.5,9.0,21,2008,A Muppet Family Christmas,"Why has nobody told me there’s a Sesame Street x muppets Christmas crossover, and that it’s peak🥹",A Fish Called Wanda,Yes
05/19/2025,A Fish Called Wanda,4.0,8.0,21 Jump Street,2012,A Real Pain,I don’t know if I could survive more than 1 day with him,A Little Romance,Yes
03/02/2025,A Haunted House,2.0,4.0,3 Ninjas,1992,Alien,"Top 5 greatest looking movies of all time. Production design peaked here and maybe will never look this good again. Atmospheric, perfect tension, what a movie. (The slightly lame kills keep this from 5 stars but it close)",A Man Called Otto,Yes
09/15/2025,A Little Romance,4.0,8.0,50/50,2011,Alien: Romulus,Freaky alien baby lankyman was not on my bingo card,A Muppet Family Christmas,Yes
06/12/2023,A Man Called Otto,3.5,7.0,9,2009,Almost Famous,Goddamn I am the biggest sucker for white boy  coming of age stories,A Quiet Place Part II,Yes
12/09/2025,A Muppet Family Christmas,4.0,8.0,A Bad Moms Christmas,2017,Altered States,Bonkers movie.. how science gonna explain how my guy turned into a whirlpool?,Air,Yes
04/27/2021,A Quiet Place,3.5,7.0,A Bug's Life,1998,American Beauty,"Sooooo well made, but a tough watch thats even tougher with Kevin spacey context",Alien,Yes
08/04/2021,A Quiet Place Part II,4.5,9.0,A Christmas Carol,2009,American Gigolo,Last Act of this movie loses steam so quick for so much good setup. Also you see Richard’s Gere shift,Almost Famous,Yes
01/20/2025,A Real Pain,3.0,6.0,A Christmas Prince,2017,Amélie,Gonna double feature this with Kiki delivery service for the most wholesome 4 hours of my life,Altered States,Yes
06/12/2023,Air,4.0,8.0,A Christmas Story,1983,Animal Kingdom,Double feature this with Superman if you want to lose all hope in humanity immediately,American Beauty,Yes
10/24/2025,Alien,4.5,9.0,A Clockwork Orange,1971,Anora,The house “fight” scene is my pick for scene of the year,Amélie,Yes
08/21/2024,Alien: Romulus,3.0,6.0,A Close Shave,1995,Arcadian,I need to get a hand on that nondescript medicine to solve all my problems,Anora,Yes
03/10/2025,Almost Famous,5.0,10.0,A Complete Unknown,2024,Bad Santa,I just know grandma can fix up a delicious sandwich,Arrival,Yes
05/28/2025,Altered States,3.5,7.0,A Few Good Men,1992,Ballad of a Small Player,"May be the worst script I’ve seen since Amsterdam (2022) and I do not say that lightly. Farrell, Swinton, and Berger tried to make the most out of what was given to them, but sprinkles on a turd do not help",Avengers: Endgame,
06/18/2025,American Beauty,4.0,8.0,A Fish Called Wanda,1988,Batman: Mask of the Phantasm,Batman but he’s a sad boi,Avengers: Infinity War,Yes
06/03/2025,American Gigolo,3.5,7.0,A Goofy Movie,1995,Beast of War,According to this movie “based on real events” Japanese soldiers care more about Sake than any other survival equipment,Baby Driver,Yes
11/01/2023,Amsterdam,1.0,2.0,A Haunted House,2013,Beavis and Butt-Head Do America,One day I’ll like my job as much as that lady likes doing cavity searches,Batman: Mask of the Phantasm,Yes
05/03/2025,Amélie,4.0,8.0,A Haunted House 2,2014,Between the Temples,This is two movies: the dinner scene and then everything else,Beavis and Butt-Head Do America,Yes
08/04/2025,Animal Kingdom,3.5,7.0,A Little Romance,1979,Black Bag,"My brain hurts, this is the biggest headache from a movie since Brick. Very cool watch though, wish I cared about their marriage a bit more",BlackBerry,Yes
12/17/2024,Anna and the Apocalypse,2.5,5.0,A Man Called Otto,2022,Blue Moon,"This is the opposite of my kind of movie. If I wanted to see a play, I would go see a play",Blood & Gold,Yes
06/20/2023,Annie Hall,2.0,4.0,A Muppet Family Christmas,1987,Blue Ruin,Ben killing Ted is the biggest act of friendship ever made in a movie,Bo Burnham: Inside,Yes
02/28/2025,Anora,4.5,9.0,A Quiet Place,2018,Bo Burnham: The Inside Outtakes,Is it sad I would watch a 5 hour cut of Inside?,Bo Burnham: The Inside Outtakes,Yes
04/27/2021,Ant-Man,2.5,5.0,A Quiet Place Part II,2020,Bob Trevino Likes It,"Hands down underrated score of the year, idk who this composer is but he’s got cozy tunes. Also can’t wait to see what Barbie Ferreira does next, what a performance",Bob Trevino Likes It,Yes
01/27/2025,Arcadian,1.5,3.0,A Real Pain,2024,Bone Tomahawk,They might be troglodytes but that was a impressively clean cut in half,Bone Tomahawk,Yes
04/27/2021,Arrival,4.5,9.0,A Simple Favor,2018,Boxcar Bertha,Scorsese kissing Barbara Hershey for his cameo in this is some Tarantino type move,Booksmart,Yes
06/20/2023,Attack the Block,2.0,4.0,A Streetcar Named Desire,1951,Boy Kills World,Every movie should have a camera kill,But I'm a Cheerleader,Yes
04/27/2021,Avengers: Age of Ultron,3.5,7.0,About a Boy,2002,Braindead,"Turns the quality on its head in the second half, from 2 stars to 4 stars once the animal energizers show up. Didn’t know gore could be so creative",CODA,Yes
04/27/2021,Avengers: Endgame,5.0,10.0,Ace Ventura: Pet Detective,1994,Bram Stoker's Dracula,Idk if Van Helsing is that good of a role or if Anthony Hopkins and Willem Dafoe are just that good,Captain America: Civil War,Yes
04/27/2021,Avengers: Infinity War,5.0,10.0,Ace Ventura: When Nature Calls,1995,Bugonia,"Feel like I would’ve gotten more from this if I didn’t watch what it was based off beforehand, the big will it, won’t it ending is less impactful when you know what’s gonna happen. Made very well though",Captain America: The Winter Soldier,Yes
04/27/2021,Baby Driver,5.0,10.0,Air,2023,But I'm a Cheerleader,"Hit or miss comedy, but cared way more about Megan and Graham’s relationship than I thought I would’ve",Cha Cha Real Smooth,Yes
12/05/2025,Bad Santa,3.0,6.0,Airplane!,1980,Captain America: Brave New World,“You stopped my plan so I’m turning myself in”.. put him with the other awful mcu villains,Chainsaw Man – The Movie: Reze Arc,Yes
01/23/2026,Ballad of a Small Player,1.0,2.0,Aladdin,1992,Cars,Cars be driving vroom vroom,Chinatown,Yes
07/25/2023,Barbie,3.0,6.0,Alice in Wonderland,2010,Castle in the Sky,"10/10 score, they cooked for 2 hours straight in the studio",City of God,Yes
06/23/2025,Batman: Mask of the Phantasm,3.5,7.0,Alice in Wonderland,1951,Cha Cha Real Smooth,Somebody recommend a bad white boy coming of age movie cause goddamn they can’t keep getting away with it,Clueless,Yes
01/21/2026,Beast of War,2.0,4.0,Alien,1979,Chiefsaholic: A Wolf in Chiefs Clothing,Very interesting story.. too bad I hate everyone that appears in this,Coco,Yes
05/02/2025,Beavis and Butt-Head Do America,3.5,7.0,Alien: Romulus,2024,Children Shouldn't Play with Dead Things,"Description says “Soon the dead are walking about”. Letterboxd is confused, this happens 55 minutes in of an 87 minute movie",Collateral,Yes
06/20/2023,Belfast,3.5,7.0,Aliens in the Attic,2009,Chinatown,"A HISTORIC DAY, I GUESSED THE REVEAL OF A DETECTIVE MOVIE💃 (updated counter of 2 for 300 on this)",Companion,Yes
01/28/2025,Between the Temples,2.5,5.0,Almost Famous,2000,City of God,"Benny so goated not only did I not care he stole the main character’s girl, Rocket didn’t either",Conclave,Yes
04/27/2021,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),1.5,3.0,Alpha Dog,2006,Clueless,Donald Faison doesn’t have a line in this that misses.. also the most confusing case of incest or not in cinema,"Crazy, Stupid, Love.",Yes
12/29/2025,Black Bag,2.5,5.0,Altered States,1980,Collateral,Audioslave jumpscare… twice???,Date Movie,Yes
04/27/2021,Black Panther,2.0,4.0,Alvin and the Chipmunks,2007,Come and See,"They must’ve hired an 80 year old to play him at the end, that cannot be the same guy",Dazed and Confused,Yes
08/04/2021,Black Widow,3.0,6.0,American Beauty,1999,Companion,"Goddamn that “go to sleep” reveal would’ve been so sick if I didn’t know going in. So fun though, even if it’s giving all Kat’s a bad name",DodgeBall: A True Underdog Story,Yes
