Name.1,Year,Date,Ratings,Dugan Ratings,Review,Liked
(500) Days of Summer,2009,06/20/2023,4.0,8.0,,Yes
10 Things I Hate About You,1999,07/08/2025,3.5,7.0,That was a really confusing way for Joey to gift Kat a guitar,Yes
101 Dalmatians,1996,,,,,
12 Angry Men,1957,07/10/2025,4.5,9.0,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",Yes
1917,2019,04/27/2021,4.0,8.0,,Yes
2012,2009,,,,,
21,2008,06/20/2023,2.5,5.0,,
21 Jump Street,2012,,,,,
3 Ninjas,1992,,,,,
50/50,2011,,,,,
9,2009,,,,,
A Bad Moms Christmas,2017,,,,,
A Bug's Life,1998,,,,,
A Christmas Carol,2009,,,,,
A Christmas Prince,2017,,,,,
A Christmas Story,1983,,,,,
A Clockwork Orange,1971,,,,,
A Close Shave,1995,,,,,
A Complete Unknown,2024,01/16/2025,4.0,8.0,Genre may be getting bloated but another Johnny Cash movie may be necessary,Yes
A Few Good Men,1992,05/16/2024,4.5,9.0,,Yes
A Fish Called Wanda,1988,05/19/2025,4.0,8.0,"Hate to say it but wished the old lady had 10 more dogs for Ken, every scene with them was 10/10",Yes
A Goofy Movie,1995,,,,,
A Haunted House,2013,03/02/2025,2.0,4.0,“Clean yo plate”,
A Haunted House 2,2014,,,,,
A Little Romance,1979,09/15/2025,4.0,8.0,"Richard is no stepdad, that’s the dad that stepped up",Yes
A Man Called Otto,2022,06/12/2023,3.5,7.0,,Yes
A Muppet Family Christmas,1987,12/09/2025,4.0,8.0,"Why has nobody told me there’s a Sesame Street x muppets Christmas crossover, and that it’s peak🥹",Yes
A Quiet Place,2018,04/27/2021,3.5,7.0,,
A Quiet Place Part II,2020,08/04/2021,4.5,9.0,,Yes
A Real Pain,2024,01/20/2025,3.0,6.0,I don’t know if I could survive more than 1 day with him,
A Simple Favor,2018,,,,,
A Streetcar Named Desire,1951,,,,,
About a Boy,2002,,,,,
Ace Ventura: Pet Detective,1994,,,,,
Ace Ventura: When Nature Calls,1995,,,,,
Air,2023,06/12/2023,4.0,8.0,,Yes
Airplane!,1980,,,,,
Aladdin,1992,,,,,
Alice in Wonderland,2010,,,,,
Alice in Wonderland,1951,,,,,
Alien,1979,10/24/2025,4.5,9.0,"Top 5 greatest looking movies of all time. Production design peaked here and maybe will never look this good again. Atmospheric, perfect tension, what a movie. (The slightly lame kills keep this from 5 stars but it close)",Yes
Alien: Romulus,2024,08/21/2024,3.0,6.0,Freaky alien baby lankyman was not on my bingo card,
Aliens in the Attic,2009,,,,,
Almost Famous,2000,03/10/2025,5.0,10.0,Goddamn I am the biggest sucker for white boy  coming of age stories,Yes
Alpha Dog,2006,,,,,
Altered States,1980,05/28/2025,3.5,7.0,Bonkers movie.. how science gonna explain how my guy turned into a whirlpool?,Yes
Alvin and the Chipmunks,2007,,,,,
American Beauty,1999,06/18/2025,4.0,8.0,"Sooooo well made, but a tough watch thats even tougher with Kevin spacey context",Yes
