Date,Content,Comment
2025-01-30,https://boxd.it/DoKdq,Only 4?
2025-03-06,https://boxd.it/927QdF,So glad it won a morbillion dollars!!
2025-03-13,https://boxd.it/ExMTK,Porco Rosso.. it underrated
2025-03-13,https://boxd.it/ExMTK,Nvm u watched that.. so almost famous instead
2025-03-28,https://boxd.it/FsQcO,Can never disagree with a list that hates on BvS
2025-04-16,https://boxd.it/9q9jMn,The fatal flaw of Porco Rosso😔
2025-05-06,https://boxd.it/DoKdq,I think you misclicked cap 3 10 spots too high
2025-05-06,https://boxd.it/9Crwkb,The music marathon continues
2025-05-07,https://boxd.it/9D2KIl,The streak continues
2025-05-25,https://boxd.it/9MswZb,Does this mean we can start reviewing post credit scenes when we clean a theater?
2025-05-31,https://boxd.it/9R2epn,So it’s not the best one?
2025-06-13,https://boxd.it/9Z8FAr,1 star??? What brought it above half?
2025-06-14,https://boxd.it/9Z8FAr,What’d you think of volcano head?
2025-06-20,https://boxd.it/a3HJOt,Thoughts on motorcycle?
2025-06-24,https://boxd.it/a5SUb3,He’s sad with lady problems this time
2025-06-29,https://boxd.it/a9fFTn,Knew it was ur kind of movie
2025-07-09,https://boxd.it/afYOip,Almost as much as your Ghibli hate
2025-08-08,https://boxd.it/aDFaeb,You missed the 1974 beforehand
2025-08-09,https://boxd.it/aEM83X,Ain’t no way this isn’t a rewatch?? You’ve never seen it?
2025-08-09,https://boxd.it/aEM83X,I was really jealous for a sec u got to see incredibles for the 1st time
2025-08-15,https://boxd.it/aIZV2h,Yeah the runtime scared me off for awhile
2025-08-21,https://boxd.it/aO3EWP,Maybe I’ll reconsider when you bump up your Conversation score
2025-09-03,https://boxd.it/aXcvXD,But how was that fight scene??
2025-09-08,https://boxd.it/aZM47l,I must’ve done something wrong to be called Bud by Miles
2025-09-20,https://boxd.it/b7ibvL,Boooo Dom hates fun
2025-10-03,https://boxd.it/bfd5ij,"That’s gonna be the next one I watch, or Verdict idk which one"
2025-10-03,https://boxd.it/bfd5ij,It’s free on Tubi but that seems disrespectful😂
2025-10-16,https://boxd.it/bnkNhF,Wasn’t a big Scanners fan😬
2025-10-17,https://boxd.it/bnPh7Z,This is what I pay the big bucks for
2025-10-19,https://boxd.it/boZBWd,Where’s Kyle and Christian? Only I get made fun of for watching 30s movies?
2025-10-22,https://boxd.it/brA6ln,"Forgot about that one, Hugh Jackman is cool as hell there"
2025-10-25,https://boxd.it/btb1Ul,"Shoutout Jonesy, smarter than the whole crew"
2025-10-30,https://boxd.it/bxedk7,"I was gonna watch this, there’s a foreskin jar?😟"
2025-11-06,https://boxd.it/bBPnMv,I’m sorry I really tried😔
2025-11-27,https://boxd.it/bQpsIB,I heard he hates Fear and Desire even more so not too excited for that
2025-11-27,https://boxd.it/bQkLBf,Kubrick had to cut the 20 minute make out sesh in the alley
2025-12-01,https://boxd.it/bTt3nX,A 10?!! From Dom?
2025-12-02,https://boxd.it/bUof4n,I thought watching Krampus was gonna be the weirdest pick today
2025-12-02,https://boxd.it/bUlnyz,He doesn’t even look interested on the poster
2025-12-03,https://boxd.it/bUYLhb,She’s gonna get nominated for Supporting (for some reason)
2025-12-03,https://boxd.it/bUYLhb,"Damn wait, I almost forgot about Aunt Gladys"
2026-01-04,https://boxd.it/cpdNUJ,It funny
2026-01-16,https://boxd.it/cE01Qj,Turns out there are no good reasons 🤷🏻‍♂️
2026-01-24,https://boxd.it/cN3wlX,Probably why I have it 4.5
