Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-14,The Muppet Christmas Carol,1992,https://boxd.it/5jSQC1,3.5,,,2023-12-13
2024-03-19,Drive-Away Dolls,2024,https://boxd.it/65sqcr,3,,,2024-03-19
2024-03-19,Looper,2012,https://boxd.it/65srv5,4,,,2024-03-19
2024-03-20,Howl's Moving Castle,2004,https://boxd.it/65Hr3P,3.5,,,2024-03-19
2024-03-27,Ocean's Eleven,2001,https://boxd.it/68L0bd,4.5,,,2024-03-26
2024-05-16,Léon: The Professional,1994,https://boxd.it/6tQuwp,3.5,,,2024-05-15
2024-05-17,Split,2016,https://boxd.it/6unyr5,3.5,,,2024-05-17
2024-05-22,Interstellar,2014,https://boxd.it/6wbOAV,5,Yes,,2024-05-21
2024-08-20,Deadpool & Wolverine,2024,https://boxd.it/78WcHl,3.5,,,2024-08-20
2024-08-20,Kiki's Delivery Service,1989,https://boxd.it/78WCHr,4,,,2024-08-20
2024-08-20,Hit Man,2023,https://boxd.it/78WJF3,4,,,2024-08-20
2024-08-20,Full Metal Jacket,1987,https://boxd.it/78WKMf,3,,,2024-08-20
2024-08-21,Alien: Romulus,2024,https://boxd.it/79knkF,3.5,,,2024-08-20
2024-08-27,Manos: The Hands of Fate,1966,https://boxd.it/7bXloV,0.5,,,2024-08-26
2024-08-27,Nazis at the Center of the Earth,2012,https://boxd.it/7bXqeV,1,,,2024-08-26
2024-09-09,Rebel Ridge,2024,https://boxd.it/7ibEhV,4.5,,,2024-09-09
2024-09-15,The Jerk,1979,https://boxd.it/7kHaZb,2,,,2024-09-15
2024-09-16,Boy Kills World,2023,https://boxd.it/7ldvSf,2.5,,,2024-09-15
2024-09-16,Your Lucky Day,2023,https://boxd.it/7ldywL,2,,,2024-09-15
2024-10-04,Kill Bill: Vol. 2,2004,https://boxd.it/7t4K8Z,2,,,2024-10-04
2024-10-04,Upgrade,2018,https://boxd.it/7t4LAF,4,,,2024-10-04
2024-10-17,Room,2015,https://boxd.it/7zl2Rz,4,,,2024-10-16
2024-11-19,Red One,2024,https://boxd.it/7QmkGz,2,,,2024-11-18
2024-12-16,The Star Wars Holiday Special,1978,https://boxd.it/84cU2V,0.5,,,2024-12-16
2025-01-04,Nosferatu,2024,https://boxd.it/8iWgkD,3.5,,,2025-01-03
2025-01-14,Love & Mercy,2014,https://boxd.it/8sOajN,3.5,,,2025-01-13
2025-01-16,Snack Shack,2024,https://boxd.it/8udgXt,4.5,,,2025-01-15
2025-01-16,A Complete Unknown,2024,https://boxd.it/8uzemf,4,,,2025-01-15
2025-01-20,A Real Pain,2024,https://boxd.it/8y03tP,3,,,2025-01-20
2025-01-20,The Beach Boys,2024,https://boxd.it/8y17Yp,3.5,,,2025-01-20
2025-01-22,Little Miss Sunshine,2006,https://boxd.it/8z4cLb,4,,,2025-01-21
2025-01-22,Number 24,2024,https://boxd.it/8zqMDh,4,,,2025-01-21
2025-01-27,Arcadian,2024,https://boxd.it/8DnoJl,1.5,,,2025-01-26
2025-01-28,Between the Temples,2024,https://boxd.it/8E8d0j,2.5,,,2025-01-27
2025-01-31,Emilia Pérez,2024,https://boxd.it/8FR1Eb,2.5,,,2025-01-30
2025-01-31,The Fall Guy,2024,https://boxd.it/8G9RDZ,2.5,,,2025-01-31
2025-01-31,The Equalizer,2014,https://boxd.it/8GcZ7N,4,,,2025-01-31
2025-02-04,Woman of the Hour,2023,https://boxd.it/8Jdl3Z,3,,,2025-02-04
2025-02-07,Laserblast,1978,https://boxd.it/8KBJrj,1,,,2025-02-06
2025-02-14,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8Pj6op,3,,,2025-02-13
2025-02-16,Oldboy,2003,https://boxd.it/8QewnL,4,,,2025-02-15
2025-02-17,Captain America: Brave New World,2025,https://boxd.it/8RtQDt,2,,,2025-02-16
2025-02-18,Chiefsaholic: A Wolf in Chiefs Clothing,2024,https://boxd.it/8Spa4x,3,,,2025-02-18
2025-02-21,Saturday Night,2024,https://boxd.it/8TXdR5,3,,,2025-02-20
2025-02-21,Memento,2000,https://boxd.it/8U9RBb,4.5,,,2025-02-21
2025-02-22,Hundreds of Beavers,2022,https://boxd.it/8UNHfp,4,,,2025-02-22
2025-02-24,Wicked,2024,https://boxd.it/8VYmiD,4,,,2025-02-23
2025-02-24,Conclave,2024,https://boxd.it/8WhtBv,4,,,2025-02-23
2025-02-25,I'm Still Here,2024,https://boxd.it/8WBZ7d,4,,,2025-02-24
2025-02-25,The Wild Robot,2024,https://boxd.it/8WRDaB,3.5,,,2025-02-24
2025-02-26,September 5,2024,https://boxd.it/8XurQj,2,,,2025-02-26
2025-02-27,The Last of the Mohicans,1992,https://boxd.it/8XZIgf,4,,,2025-02-27
2025-02-28,Anora,2024,https://boxd.it/8YgQqr,4,,,2025-02-27
2025-02-28,Lord of War,2005,https://boxd.it/8YtsXd,2,,,2025-02-27
2025-02-28,Collateral,2004,https://boxd.it/8YzeY9,4,,,2025-02-28
2025-03-02,Date Movie,2006,https://boxd.it/8ZyLnx,1,,,2025-03-01
2025-03-02,A Haunted House,2013,https://boxd.it/8ZE3UT,2,,,2025-03-01
2025-03-05,Conan the Barbarian,1982,https://boxd.it/91TlrD,3,,,2025-03-05
2025-03-07,Bone Tomahawk,2015,https://boxd.it/9329ir,4,,,2025-03-07
2025-03-09,Mickey 17,2025,https://boxd.it/93Qi1p,2.5,,,2025-03-08
2025-03-10,Almost Famous,2000,https://boxd.it/95dfVz,5,,,2025-03-10
2025-03-11,Nickel Boys,2024,https://boxd.it/95Rs1T,3.5,,,2025-03-11
2025-03-12,Greedy People,2024,https://boxd.it/96otiH,3.5,,,2025-03-12
2025-03-14,Wind River,2017,https://boxd.it/979sSD,4.5,,,2025-03-13
2025-03-14,The Northman,2022,https://boxd.it/97s71r,4.5,Yes,,2025-03-14
2025-03-21,The Running Man,1987,https://boxd.it/9bBs1h,1.5,,,2025-03-21
2025-03-26,Clueless,1995,https://boxd.it/9eDb0x,4,,,2025-03-26
2025-04-01,The Electric State,2025,https://boxd.it/9i1KGX,2,,,2025-04-01
2025-04-06,Ichi the Killer,2001,https://boxd.it/9kJvYD,1.5,,,2025-04-06
2025-04-07,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,https://boxd.it/9loFN3,4,,,2025-04-07
2025-04-08,Soylent Green,1973,https://boxd.it/9lV5kb,1.5,,,2025-04-08
2025-04-09,Look Back,2024,https://boxd.it/9m87Wn,4.5,,,2025-04-08
2025-04-10,Fritz the Cat,1972,https://boxd.it/9mWrdx,3.5,,,2025-04-10
2025-04-11,Save the Green Planet!,2003,https://boxd.it/9n7qcZ,3,,,2025-04-10
2025-04-11,The Thing,1982,https://boxd.it/9npZBL,4,,,2025-04-11
2025-04-12,Flow,2024,https://boxd.it/9nWtjV,3,,,2025-04-12
2025-04-15,Smokin' Aces,2006,https://boxd.it/9ppk11,2.5,,,2025-04-14
2025-04-15,The Cat Returns,2002,https://boxd.it/9ppJyJ,3.5,,,2025-04-14
2025-04-15,Who Killed Captain Alex?,2010,https://boxd.it/9pLQUB,0.5,,,2025-04-15
2025-04-17,The Incident,1967,https://boxd.it/9qPKxD,3,,,2025-04-17
2025-04-23,The Game,1997,https://boxd.it/9uuRk1,4,,,2025-04-22
2025-04-23,Porco Rosso,1992,https://boxd.it/9uOXV3,4.5,Yes,,2025-04-23
2025-04-24,Nurse Sherri,1977,https://boxd.it/9vmKVd,1,,,2025-04-24
2025-04-25,Se7en,1995,https://boxd.it/9vTZjz,4.5,,,2025-04-25
2025-04-26,Sinners,2025,https://boxd.it/9wcGPf,3,,,2025-04-25
2025-04-29,Xtro,1982,https://boxd.it/9yitCx,2,,,2025-04-28
2025-04-30,Blue Ruin,2013,https://boxd.it/9yMqif,3,,,2025-04-30
2025-05-02,Beavis and Butt-Head Do America,1996,https://boxd.it/9zUCk3,3.5,,,2025-05-02
2025-05-03,Amélie,2001,https://boxd.it/9AudoB,4,,,2025-05-03
2025-05-06,Trap,2024,https://boxd.it/9CzUUX,1.5,,,2025-05-06
2025-05-07,Seven Samurai,1954,https://boxd.it/9D4TDt,4.5,,,2025-05-07
2025-05-08,Come and See,1985,https://boxd.it/9DuXfd,3,,,2025-05-07
2025-05-12,Thriller: A Cruel Picture,1973,https://boxd.it/9FRKqr,1,,,2025-05-12
2025-05-13,The Foot Fist Way,2006,https://boxd.it/9Goxcx,1.5,,,2025-05-12
2025-05-14,Tombstone,1993,https://boxd.it/9GPaFP,3.5,,,2025-05-13
2025-05-14,Monty Python's The Meaning of Life,1983,https://boxd.it/9GS6v3,2.5,,,2025-05-13
2025-05-14,Bo Burnham: The Inside Outtakes,2022,https://boxd.it/9GX1Qv,4,,,2025-05-14
2025-05-15,Poor Things,2023,https://boxd.it/9Ht6h5,3.5,,,2025-05-15
2025-05-17,My Neighbor Totoro,1988,https://boxd.it/9IcY79,5,,,2025-05-16
2025-05-17,Thunderbolts*,2025,https://boxd.it/9IouID,3,,,2025-05-16
2025-05-18,Ran,1985,https://boxd.it/9J9H6r,3.5,,,2025-05-18
2025-05-19,A Fish Called Wanda,1988,https://boxd.it/9JNKgz,4,,,2025-05-18
2025-05-20,Shrek Forever After,2010,https://boxd.it/9KqdPJ,2.5,,,2025-05-20
2025-05-22,Tetris,2023,https://boxd.it/9LtUij,4,,,2025-05-21
2025-05-27,Inside Moves,1980,https://boxd.it/9OQkZp,2.5,,,2025-05-27
2025-05-28,Altered States,1980,https://boxd.it/9PsjkL,3.5,,,2025-05-28
2025-05-29,Ted 2,2015,https://boxd.it/9PYwHH,1.5,,,2025-05-28
2025-05-29,The Fog,1980,https://boxd.it/9Q2s6P,3,,,2025-05-29
2025-06-02,Raging Bull,1980,https://boxd.it/9Sz7cV,4,,,2025-06-01
2025-06-02,Terror Train,1980,https://boxd.it/9SDnF3,1.5,,,2025-06-02
2025-06-03,The Tune,1992,https://boxd.it/9SVQjV,3,,,2025-06-02
2025-06-03,American Gigolo,1980,https://boxd.it/9Te9Fn,3.5,,,2025-06-03
2025-06-04,Cha Cha Real Smooth,2022,https://boxd.it/9TOHTZ,4.5,,,2025-06-04
2025-06-05,Smiley Face,2007,https://boxd.it/9UmQER,3.5,,,2025-06-05
2025-06-06,Prom Night,1980,https://boxd.it/9UPFcb,2.5,,,2025-06-05
2025-06-06,Mad God,2021,https://boxd.it/9USnKb,4.5,,,2025-06-06
2025-06-09,Ordinary People,1980,https://boxd.it/9WNuI5,4,,,2025-06-08
2025-06-09,The Elephant Man,1980,https://boxd.it/9WSgjF,3.5,,,2025-06-09
2025-06-12,Paths of Glory,1957,https://boxd.it/9YEcEf,4,,,2025-06-12
2025-06-13,Scanners,1981,https://boxd.it/9Z1Ipx,2.5,,,2025-06-12
2025-06-13,Whisper of the Heart,1995,https://boxd.it/9Z9Lzr,3.5,,,2025-06-12
2025-06-17,The Insider,1999,https://boxd.it/a1U78d,3.5,,,2025-06-16
2025-06-17,Sherlock Jr.,1924,https://boxd.it/a1WJG7,3,,,2025-06-17
2025-06-18,American Beauty,1999,https://boxd.it/a2woVn,4,,,2025-06-18
2025-06-23,Batman: Mask of the Phantasm,1993,https://boxd.it/a5SUb3,3.5,,,2025-06-23
2025-06-25,Wolfwalkers,2020,https://boxd.it/a6MKP5,4,,,2025-06-24
2025-06-25,The Green Mile,1999,https://boxd.it/a7aij9,4.5,,,2025-06-25
2025-06-26,Office Space,1999,https://boxd.it/a7OkWx,3.5,,,2025-06-26
2025-06-27,Trainspotting,1996,https://boxd.it/a86BMP,4,,,2025-06-26
2025-06-27,The Prestige,2006,https://boxd.it/a8oIr1,4.5,,,2025-06-27
2025-06-28,But I'm a Cheerleader,1999,https://boxd.it/a8OtQd,3.5,,,2025-06-27
2025-06-29,Once Upon a Time... in Hollywood,2019,https://boxd.it/a9L115,2.5,,,2025-06-29
2025-06-30,Go,1999,https://boxd.it/aasRnt,3,,,2025-06-30
2025-07-02,Elemental,2023,https://boxd.it/abs4J5,2.5,,,2025-07-01
2025-07-02,F1,2025,https://boxd.it/abJmBx,4.5,,,2025-07-01
2025-07-02,The Straight Story,1999,https://boxd.it/abNkdr,1,,,2025-07-02
2025-07-03,Lightyear,2022,https://boxd.it/acc2Ih,2.5,,,2025-07-02
2025-07-05,How to Train Your Dragon,2025,https://boxd.it/adgCdV,3,,,2025-07-04
2025-07-08,10 Things I Hate About You,1999,https://boxd.it/afYOip,3.5,,,2025-07-07
2025-07-09,Say Anything...,1989,https://boxd.it/agqyHf,3,,,2025-07-08
2025-07-09,The Matrix,1999,https://boxd.it/agIZgr,3.5,,,2025-07-09
2025-07-10,12 Angry Men,1957,https://boxd.it/ahq2C7,4.5,,,2025-07-10
2025-07-11,Superman,2025,https://boxd.it/ahMpH9,4,,,2025-07-10
2025-07-11,In Time,2011,https://boxd.it/ai2rmT,2.5,Yes,,2025-07-10
2025-07-14,"Mystery, Alaska",1999,https://boxd.it/aksAZZ,3,,,2025-07-13
2025-07-15,Frankie Freako,2024,https://boxd.it/alb4yR,0.5,,,2025-07-14
2025-07-15,The Ox-Bow Incident,1943,https://boxd.it/alfk6n,3.5,,,2025-07-14
2025-07-16,My Big Fat Greek Wedding,2002,https://boxd.it/alLcpv,3,,,2025-07-15
2025-07-17,Yor: The Hunter from the Future,1983,https://boxd.it/amg4e7,1.5,,,2025-07-16
2025-07-19,City of God,2002,https://boxd.it/anSl8v,4,,,2025-07-18
2025-07-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/aonevf,3,,,2025-07-19
2025-07-21,Varsity Blues,1999,https://boxd.it/apR7MR,3.5,,,2025-07-20
2025-07-22,Dog Day Afternoon,1975,https://boxd.it/aqGjnh,3.5,,,2025-07-22
2025-07-23,Flora and Son,2023,https://boxd.it/aroKJd,3,,,2025-07-22
2025-07-24,Safe Men,1998,https://boxd.it/asesIP,2,,,2025-07-24
2025-07-25,Vertigo,1958,https://boxd.it/at4bWJ,3,,,2025-07-25
2025-07-29,Happy Gilmore 2,2025,https://boxd.it/avYjgr,2.5,,,2025-07-28
2025-07-29,Boxcar Bertha,1972,https://boxd.it/awzBX3,1.5,,,2025-07-29
2025-08-01,Face/Off,1997,https://boxd.it/ayQ8br,4,,,2025-07-31
2025-08-03,Five Corners,1987,https://boxd.it/aAxwad,1,,,2025-08-03
2025-08-04,Animal Kingdom,2010,https://boxd.it/aBnzTp,3.5,,,2025-08-03
2025-08-05,Castle in the Sky,1986,https://boxd.it/aCaNH1,3.5,,,2025-08-04
2025-08-06,The Fantastic 4: First Steps,2025,https://boxd.it/aCNlcx,3.5,,,2025-08-05
2025-08-07,Mary and Max,2009,https://boxd.it/aDr1qJ,4,,,2025-08-06
2025-08-07,It's Alive,1974,https://boxd.it/aDBPfV,1.5,,,2025-08-06
2025-08-07,The Hidden,1987,https://boxd.it/aDFaeb,2.5,,,2025-08-07
2025-08-08,Cars,2006,https://boxd.it/aEkNhv,3,Yes,,2025-08-08
2025-08-11,Legend,1985,https://boxd.it/aGMFkl,1.5,,,2025-08-10
2025-08-12,Wolfs,2024,https://boxd.it/aHCdSN,3,,,2025-08-12
2025-08-13,From Up on Poppy Hill,2011,https://boxd.it/aIhLXp,4,,,2025-08-12
2025-08-14,Zodiac,2007,https://boxd.it/aIZV2h,4,,,2025-08-13
2025-08-15,Weapons,2025,https://boxd.it/aJzZLH,4,,,2025-08-14
2025-08-15,The Conversation,1974,https://boxd.it/aJIplh,4.5,,,2025-08-15
