Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-02-23,2024 released ranked ,,https://boxd.it/EqF2K,

Position,Name,Year,URL,Description
1,Snack Shack,2024,https://boxd.it/DeKu,
2,Rebel Ridge,2024,https://boxd.it/nZum,
3,Dune: Part Two,2024,https://boxd.it/pUfA,
4,Look Back,2024,https://boxd.it/LjA6,
5,Inside Out 2,2024,https://boxd.it/CFrC,
6,Anora,2024,https://boxd.it/Egcw,
7,I'm Still Here,2024,https://boxd.it/BPEO,
8,Hundreds of Beavers,2022,https://boxd.it/CyUM,
9,Wicked,2024,https://boxd.it/e8ME,
10,Conclave,2024,https://boxd.it/AO8q,
11,A Complete Unknown,2024,https://boxd.it/oBYa,
12,Number 24,2024,https://boxd.it/KoWa,
13,Nosferatu,2024,https://boxd.it/f5eG,
14,Nickel Boys,2024,https://boxd.it/CStQ,
15,Sing Sing,2023,https://boxd.it/HIBA,
16,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
17,Greedy People,2024,https://boxd.it/ANiu,
18,The Substance,2024,https://boxd.it/zanS,
19,The Wild Robot,2024,https://boxd.it/IWFy,
20,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,
21,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,
22,The Beach Boys,2024,https://boxd.it/MdrE,
23,Alien: Romulus,2024,https://boxd.it/zGqO,
24,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,
25,Saturday Night,2024,https://boxd.it/Gpfo,
26,Wolfs,2024,https://boxd.it/x6zG,
27,Flow,2024,https://boxd.it/v1Ei,
28,A Real Pain,2024,https://boxd.it/CjNG,
29,Chiefsaholic: A Wolf in Chiefs Clothing,2024,https://boxd.it/RCVO,
30,Drive-Away Dolls,2024,https://boxd.it/A8vi,
31,Between the Temples,2024,https://boxd.it/Gy1U,
32,The Fall Guy,2024,https://boxd.it/s0Bm,
33,Brothers,2024,https://boxd.it/mNdQ,
34,Emilia Pérez,2024,https://boxd.it/AP3G,
35,September 5,2024,https://boxd.it/JYsI,
36,Red One,2024,https://boxd.it/vTBM,
37,Arcadian,2024,https://boxd.it/DOtu,
38,Trap,2024,https://boxd.it/D4nK,
39,Frankie Freako,2024,https://boxd.it/GDkM,
