Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-03-14,Best movie for every year since 1980,,https://boxd.it/F4ooY,Before then I don’t got many options

Position,Name,Year,URL,Description
1,Airplane!,1980,https://boxd.it/29yu,
2,Blow Out,1981,https://boxd.it/1TlE,
3,The King of Comedy,1982,https://boxd.it/2aJS,
4,Return of the Jedi,1983,https://boxd.it/27Vm,
5,Top Secret!,1984,https://boxd.it/1ZSE,Only had 2 options for this year😬
6,Ran,1985,https://boxd.it/1Tlu,
7,Stand by Me,1986,https://boxd.it/2aOe,
8,Full Metal Jacket,1987,https://boxd.it/2a1Q,
9,My Neighbor Totoro,1988,https://boxd.it/20eA,
10,When Harry Met Sally...,1989,https://boxd.it/29W2,
11,GoodFellas,1990,https://boxd.it/29FA,
12,Beauty and the Beast,1991,https://boxd.it/1XhG,
13,A Few Good Men,1992,https://boxd.it/29nw,HM: Porco Rosso
14,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,
15,Forrest Gump,1994,https://boxd.it/728,
16,Se7en,1995,https://boxd.it/29zs,
17,Happy Gilmore,1996,https://boxd.it/1Yey,
18,Good Will Hunting,1997,https://boxd.it/2ahY,
19,Saving Private Ryan,1998,https://boxd.it/29ro,
20,The Green Mile,1999,https://boxd.it/2agG,
21,Almost Famous,2000,https://boxd.it/29CQ,
22,Shrek,2001,https://boxd.it/29zi,
23,Treasure Planet,2002,https://boxd.it/1Znm,
24,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
25,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,<p>HM: incredibles😔</p>
26,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
27,The Prestige,2006,https://boxd.it/293w,
28,Superbad,2007,https://boxd.it/20hO,
29,The Dark Knight,2008,https://boxd.it/2b0k,
30,Inglourious Basterds,2009,https://boxd.it/1JzG,
31,The Social Network,2010,https://boxd.it/17ue,
32,Rango,2011,https://boxd.it/QPk,
33,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
34,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
35,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
36,Mad Max: Fury Road,2015,https://boxd.it/2DjO,"Toughest year to pick from HM: Martian, Room, Inside Out, Bone Tomahawk&nbsp;"
37,Sing Street,2016,https://boxd.it/cOo6,
38,Baby Driver,2017,https://boxd.it/bhF2,
39,Avengers: Infinity War,2018,https://boxd.it/9vEe,
40,Jojo Rabbit,2019,https://boxd.it/iEBG,HM: Klaus&nbsp;
41,A Quiet Place Part II,2020,https://boxd.it/iTx0,
42,King Richard,2021,https://boxd.it/mJZ2,
43,Top Gun: Maverick,2022,https://boxd.it/cjr4,
44,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
45,Snack Shack,2024,https://boxd.it/DeKu,
46,F1,2025,https://boxd.it/yjVM,
