Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-20,Ghibli Ranked ,,https://boxd.it/Das4C,

Position,Name,Year,URL,Description
1,My Neighbor Totoro,1988,https://boxd.it/20eA,
2,Porco Rosso,1992,https://boxd.it/1Tp2,
3,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
4,From Up on Poppy Hill,2011,https://boxd.it/2VCa,
5,Spirited Away,2001,https://boxd.it/2b4m,
6,Howl's Moving Castle,2004,https://boxd.it/23De,
7,The Cat Returns,2002,https://boxd.it/1Mne,
8,Castle in the Sky,1986,https://boxd.it/1W4G,
9,Whisper of the Heart,1995,https://boxd.it/17uy,
10,Pom Poko,1994,https://boxd.it/1Mvi,
11,Ponyo,2008,https://boxd.it/1S0A,
12,Grave of the Fireflies,1988,https://boxd.it/1RUM,
13,Princess Mononoke,1997,https://boxd.it/2b4w,
14,My Neighbors the Yamadas,1999,https://boxd.it/1KC2,
