Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-20,MCU Ranked,,https://boxd.it/Dawwg,

Position,Name,Year,URL,Description
1,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
2,Avengers: Infinity War,2018,https://boxd.it/9vEe,
3,Avengers: Endgame,2019,https://boxd.it/9vE4,
4,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
5,Captain America: Civil War,2016,https://boxd.it/89Ja,
6,Iron Man,2008,https://boxd.it/28dA,
7,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
8,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
9,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
10,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
11,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
12,Thor: Ragnarok,2017,https://boxd.it/8MHi,
13,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
14,Doctor Strange,2016,https://boxd.it/8MH8,
15,The Avengers,2012,https://boxd.it/1xFW,
16,Thunderbolts*,2025,https://boxd.it/BfbQ,
17,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
18,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
19,Black Widow,2021,https://boxd.it/hWV8,
20,Ant-Man,2015,https://boxd.it/3vmW,
21,Iron Man 3,2013,https://boxd.it/2cBQ,
22,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
23,Iron Man 2,2010,https://boxd.it/1WZM,
24,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
25,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
26,Captain America: The First Avenger,2011,https://boxd.it/28b0,
27,Black Panther,2018,https://boxd.it/8MHs,
28,Captain America: Brave New World,2025,https://boxd.it/uYDm,
29,Thor: The Dark World,2013,https://boxd.it/2DqA,
30,The Incredible Hulk,2008,https://boxd.it/28dU,
31,Thor,2011,https://boxd.it/1WQU,
