Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-03-28,Movies I hate,profile,https://boxd.it/Fuf0q,

Position,Name,Year,URL,Description
1,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
2,The Lion King,2019,https://boxd.it/eSjI,This represents all live action remakes&nbsp;
3,The Harder They Fall,2021,https://boxd.it/mRCU,
4,The Last Airbender,2010,https://boxd.it/1WQK,Who decided this instead of a 4th season
5,Day Shift,2022,https://boxd.it/sn8W,
6,Emilia Pérez,2024,https://boxd.it/AP3G,
7,The Flash,2023,https://boxd.it/9twC,
8,Amsterdam,2022,https://boxd.it/oJ58,
9,Thriller: A Cruel Picture,1973,https://boxd.it/1MZs,
10,Love Actually,2003,https://boxd.it/2aeU,
11,Rubber,2010,https://boxd.it/P2m,
12,Frankie Freako,2024,https://boxd.it/GDkM,
13,Batman: The Killing Joke,2016,https://boxd.it/djxe,
