Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-13,November Watchlist ,,https://boxd.it/PuVhS,

Position,Name,Year,URL,Description
1,Little Women,2019,https://boxd.it/aSVk,
2,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,
3,Pieces of April,2003,https://boxd.it/28De,
4,Barry Lyndon,1975,https://boxd.it/25A2,
5,Pride & Prejudice,2005,https://boxd.it/24u8,
6,A Charlie Brown Thanksgiving,1973,https://boxd.it/1Q5I,
7,Solaris,1972,https://boxd.it/2a2Y,
8,Taken,2008,https://boxd.it/1ZXa,
9,Zardoz,1974,https://boxd.it/23Fa,
10,The Pianist,2002,https://boxd.it/2aqc,
11,Bottoms,2023,https://boxd.it/uGf2,
