Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-20,Pixar Ranked,,https://boxd.it/DapSu,

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,Toy Story 3,2010,https://boxd.it/1WRe,
3,Inside Out 2,2024,https://boxd.it/CFrC,
4,Coco,2017,https://boxd.it/bYJQ,
5,Inside Out,2015,https://boxd.it/4KHC,
6,Up,2009,https://boxd.it/1OEc,
7,"Monsters, Inc.",2001,https://boxd.it/2a46,
8,WALL·E,2008,https://boxd.it/1VEo,
9,Toy Story 2,1999,https://boxd.it/29qq,
10,Luca,2021,https://boxd.it/ipjC,
11,Ratatouille,2007,https://boxd.it/27ww,
12,Monsters University,2013,https://boxd.it/bQm,
13,Finding Nemo,2003,https://boxd.it/72i,
14,Cars,2006,https://boxd.it/29ho,
15,Soul,2020,https://boxd.it/ioLA,
16,Toy Story 4,2019,https://boxd.it/9ALu,
17,Finding Dory,2016,https://boxd.it/4aAA,
18,A Bug's Life,1998,https://boxd.it/1Yyy,
19,Toy Story,1995,https://boxd.it/29qA,
20,Onward,2020,https://boxd.it/io92,
21,Lightyear,2022,https://boxd.it/qV1G,
22,Turning Red,2022,https://boxd.it/ipkq,
23,Elemental,2023,https://boxd.it/ASiE,
24,Brave,2012,https://boxd.it/bVG,
25,Cars 3,2017,https://boxd.it/7IPq,
26,Incredibles 2,2018,https://boxd.it/7IPg,
27,Cars 2,2011,https://boxd.it/H4Y,
28,The Good Dinosaur,2015,https://boxd.it/3AD4,
