Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-20,Tarantino Ranked,,https://boxd.it/D9mlq,

Position,Name,Year,URL,Description
1,Inglourious Basterds,2009,https://boxd.it/1JzG,
2,Django Unchained,2012,https://boxd.it/2cCk,
3,Pulp Fiction,1994,https://boxd.it/29Pq,
4,The Hateful Eight,2015,https://boxd.it/8gw8,
5,Jackie Brown,1997,https://boxd.it/2aVO,
6,Reservoir Dogs,1992,https://boxd.it/2agc,
7,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
8,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
9,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,
