Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-14,The Muppet Christmas Carol,1992,https://boxd.it/5jSQC1,3.5,,Everytime Kermit was on screen 10/10,,2023-12-13
2024-03-19,Drive-Away Dolls,2024,https://boxd.it/65sqcr,3,,They should make a Sukie and Curlie spin-off buddy cop movie.,,2024-03-19
2024-03-19,Looper,2012,https://boxd.it/65srv5,4,,Christopher Nolan if he didn’t make me rethink everything after watching.,,2024-03-19
2024-03-20,Howl's Moving Castle,2004,https://boxd.it/65Hr3P,3.5,,Justice for Scarecrow,,2024-03-19
2024-03-27,Ocean's Eleven,2001,https://boxd.it/68L0bd,4.5,,Lyman Zerga is the greatest fake name in cinematic history,,2024-03-26
2024-05-16,Léon: The Professional,1994,https://boxd.it/6tQuwp,3.5,,Gary Oldman is evil Jim Carey in this,,2024-05-15
2024-05-17,Split,2016,https://boxd.it/6unyr5,3.5,,He should’ve been nominated.. too bad M. Night writes his dialogue.,,2024-05-17
2024-05-22,Interstellar,2014,https://boxd.it/6wbOAV,5,Yes,Oh no I’m basic,,2024-05-21
2024-08-20,Kiki's Delivery Service,1989,https://boxd.it/78WCHr,4,,How is every single character likable and charming.. classic Ghibli,,2024-08-20
2024-08-20,Hit Man,2023,https://boxd.it/78WJF3,4,,It might being super predictable but the dialog is fantastic so. If I can’t have both I’ll definitely choose this alternative.,,2024-08-20
2024-08-20,Full Metal Jacket,1987,https://boxd.it/78WKMf,3,,"First half, 9 or 9.5 out of 10.. too bad that second half is like a 5 and makes it feel like a 3 hour movie.",,2024-08-20
2024-08-21,Alien: Romulus,2024,https://boxd.it/79knkF,3.5,,Freaky alien baby lankyman was not on my bingo card,,2024-08-20
2024-08-27,Manos: The Hands of Fate,1966,https://boxd.it/7bXloV,0.5,,What a terrible movie… can’t wait to make it a drinking game,,2024-08-26
2024-08-27,Nazis at the Center of the Earth,2012,https://boxd.it/7bXqeV,1,,PlayStation 2 Hagrid looked better than most CGI in this.,,2024-08-26
2024-09-09,Rebel Ridge,2024,https://boxd.it/7ibEhV,4.5,,He somehow never killed.. except that one dudes arm,,2024-09-09
2024-09-15,The Jerk,1979,https://boxd.it/7kHaZb,2,,Wished he pulled apart more churches,,2024-09-15
2024-09-16,Boy Kills World,2023,https://boxd.it/7ldvSf,2.5,,Every movie should have a camera kill,,2024-09-15
2024-09-16,Your Lucky Day,2023,https://boxd.it/7ldywL,2,,If the first hour was cut off it would be a very interesting short film,,2024-09-15
2024-10-04,Kill Bill: Vol. 2,2004,https://boxd.it/7t4K8Z,2,,Tarantino studied yapology for this one,,2024-10-04
