Date,Name,Year,Letterboxd URI
2025-02-13,The Brutalist,2024,https://boxd.it/k4BO
2025-02-23,Grizzly Man,2005,https://boxd.it/2ag2
2025-03-12,Longlegs,2024,https://boxd.it/KzLM
2025-03-12,Challengers,2024,https://boxd.it/zld0
2025-03-12,I Saw the TV Glow,2024,https://boxd.it/woVe
2025-04-10,Loving Vincent,2017,https://boxd.it/biIQ
2025-04-24,Pride & Prejudice,2005,https://boxd.it/24u8
2025-04-24,Casino,1995,https://boxd.it/2ads
2025-04-30,M,1931,https://boxd.it/29vq
2025-04-30,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-04-30,Stalker,1979,https://boxd.it/28PO
2025-04-30,Incendies,2010,https://boxd.it/Msm
2025-04-30,Paddington 2,2017,https://boxd.it/bCF8
2025-05-07,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-05-14,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w
2025-05-15,La Haine,1995,https://boxd.it/2as8
2025-05-31,The Diamond Arm,1968,https://boxd.it/1CN2
2025-06-01,The Fall,2006,https://boxd.it/1NoM
2025-06-02,Memories of Murder,2003,https://boxd.it/1TSo
2025-06-05,After Hours,1985,https://boxd.it/1VfS
2025-06-05,High and Low,1963,https://boxd.it/1RSc
2025-06-05,The Lighthouse,2019,https://boxd.it/icFU
2025-06-05,Schindler's List,1993,https://boxd.it/2aq2
2025-06-05,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2025-06-05,The Great Mouse Detective,1986,https://boxd.it/1XlI
2025-06-05,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS
2025-06-05,Inside Man,2006,https://boxd.it/2auS
2025-06-05,Boogie Nights,1997,https://boxd.it/23um
2025-06-05,Scarface,1983,https://boxd.it/2b7g
2025-06-05,Amadeus,1984,https://boxd.it/2aH8
2025-06-05,About Time,2013,https://boxd.it/43bI
2025-06-05,The Muppets,2011,https://boxd.it/1zg
2025-06-05,Stripes,1981,https://boxd.it/gY6
2025-06-06,Mars Express,2023,https://boxd.it/lATC
2025-06-08,Nathan for You: Finding Frances,2017,https://boxd.it/hufy
2025-06-12,Kung Fury,2015,https://boxd.it/7mSM
2025-06-12,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-06-12,Thelma & Louise,1991,https://boxd.it/28Ew
2025-06-13,Mei and the Kittenbus,2002,https://boxd.it/4Xuw
2025-06-27,Tenet,2020,https://boxd.it/leq4
2025-07-14,The Cranes Are Flying,1957,https://boxd.it/169Y
2025-07-22,Superman vs. The Elite,2012,https://boxd.it/3w4k
2025-07-23,World of Tomorrow,2015,https://boxd.it/9Gr6
2025-07-24,Dinner in America,2020,https://boxd.it/oinu
2025-07-24,Rashomon,1950,https://boxd.it/2a9K
2025-07-24,A Matter of Loaf and Death,2008,https://boxd.it/1O4S
2025-08-01,Fateful Findings,2013,https://boxd.it/5X3C
2025-08-05,Nope,2022,https://boxd.it/sDCe
2025-08-08,The Wrestler,2008,https://boxd.it/1So8
2025-08-08,Sunset Boulevard,1950,https://boxd.it/2a20
2025-08-14,Anomalisa,2015,https://boxd.it/97TE
2025-08-14,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2025-08-15,Sid and Nancy,1986,https://boxd.it/1N6e
2025-08-23,House,1977,https://boxd.it/1vsm
2025-08-26,"It's a Mad, Mad, Mad, Mad World",1963,https://boxd.it/1TvO
2025-08-30,Winter in Prostokvashino,1984,https://boxd.it/2H5w
2025-09-06,Exit,1990,https://boxd.it/bSXC
2025-10-03,Singin' in the Rain,1952,https://boxd.it/29oY
2025-10-09,The Verdict,1982,https://boxd.it/1y3Y
2025-10-09,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2026-01-15,Hoop Dreams,1994,https://boxd.it/1Opc
2026-01-21,Aftersun,2022,https://boxd.it/Arw0
